product_id,product_name,brand,category,price,expiry_date
11,Luminous Foundation,GlowCo,Makeup,24.99,2025-08-15
2,Hydra Cleanser,FreshFace,Skincare,15.50,2024-12-01
3,Velvet Lipstick,ColorPop,Makeup,12.00,2026-03-10
4,Revive Serum,Youthful,Skincare,35.75,2025-05-20
5,Matte Compact,GlowCo,Makeup,18.25,2025-11-30
6,Daily Moisturizer,FreshFace,Skincare,20.00,2024-09-18
7,Volume Mascara,LashUp,Makeup,14.99,2026-01-25
8,Soothing Toner,CalmSkin,Skincare,13.50,2025-07-12
9,Shimmer Blush,ColorPop,Makeup,16.00,2025-10-05
10,Repair Night Cream,Youthful,Skincare,28.90,2024-11-22